1: 1,464 (pre, post)
2: 30,435 (pre, post)
3: 161,304 (pre, post)
4: 67,396 (pre, post)
5: 346,347 (pre, post)
6: 27,438 (pre, post)
7: 128,329 (pre, post)
8: 34,431 (pre, post)
9: 83,380 (pre, post)
10: 10,455 (pre, post)
11: 279,282 (pre, post)
12: 190,253 (pre, post)
13: 72,391 (pre, post)
14: 77,386 (pre, post)
15: 123,334 (pre, post)
16: 95,368 (pre, post)
17: 89,374 (pre, post)
18: 103,358 (pre, post)
19: 147,314 (pre, post)
20: 115,342 (pre, post)
21: 179,262 (pre, post)
22: 52,411 (pre, post)
23: 134,321 (pre, post)
24: 292,295 (pre, post)
25: 9,456 (pre, post)
26: 465,466 (pre, post)
27: 414,415 (pre, post)
28: 26,439 (pre, post)
29: 467,468 (pre, post)
30: 73,390 (pre, post)
31: 176,265 (pre, post)
32: 277,278 (pre, post)
33: 106,355 (pre, post)
34: 124,333 (pre, post)
35: 13,452 (pre, post)
36: 92,371 (pre, post)
37: 218,225 (pre, post)
38: 19,446 (pre, post)
39: 120,337 (pre, post)
40: 116,341 (pre, post)
41: 188,255 (pre, post)
42: 173,296 (pre, post)
43: 85,378 (pre, post)
44: 107,352 (pre, post)
45: 215,230 (pre, post)
46: 117,340 (pre, post)
47: 198,247 (pre, post)
48: 24,441 (pre, post)
49: 151,312 (pre, post)
50: 366,367 (pre, post)
51: 219,224 (pre, post)
52: 49,416 (pre, post)
53: 154,155 (pre, post)
54: 228,229 (pre, post)
55: 112,345 (pre, post)
56: 163,302 (pre, post)
57: 273,286 (pre, post)
58: 143,320 (pre, post)
59: 101,360 (pre, post)
60: 7,458 (pre, post)
61: 61,402 (pre, post)
62: 201,244 (pre, post)
63: 168,301 (pre, post)
64: 164,167 (pre, post)
65: 196,249 (pre, post)
66: 96,365 (pre, post)
67: 133,326 (pre, post)
68: 148,149 (pre, post)
69: 75,388 (pre, post)
70: 37,428 (pre, post)
71: 78,385 (pre, post)
72: 60,403 (pre, post)
73: 138,139 (pre, post)
74: 135,142 (pre, post)
75: 222,223 (pre, post)
76: 208,237 (pre, post)
77: 145,316 (pre, post)
78: 169,300 (pre, post)
79: 204,241 (pre, post)
80: 53,410 (pre, post)
81: 183,258 (pre, post)
82: 322,325 (pre, post)
83: 39,40 (pre, post)
84: 122,335 (pre, post)
85: 41,426 (pre, post)
86: 47,418 (pre, post)
87: 74,389 (pre, post)
88: 22,443 (pre, post)
89: 108,351 (pre, post)
90: 203,242 (pre, post)
91: 16,449 (pre, post)
92: 158,307 (pre, post)
93: 12,453 (pre, post)
94: 36,429 (pre, post)
95: 17,448 (pre, post)
96: 46,419 (pre, post)
97: 210,235 (pre, post)
98: 353,354 (pre, post)
99: 269,272 (pre, post)
100: 205,240 (pre, post)
101: 170,299 (pre, post)
102: 469,470 (pre, post)
103: 90,373 (pre, post)
104: 44,421 (pre, post)
105: 200,245 (pre, post)
106: 157,308 (pre, post)
107: 471,472 (pre, post)
108: 180,261 (pre, post)
109: 121,336 (pre, post)
110: 71,392 (pre, post)
111: 110,349 (pre, post)
112: 276,283 (pre, post)
113: 267,290 (pre, post)
114: 153,310 (pre, post)
115: 15,450 (pre, post)
116: 137,140 (pre, post)
117: 102,359 (pre, post)
118: 80,383 (pre, post)
119: 171,298 (pre, post)
120: 274,285 (pre, post)
121: 146,315 (pre, post)
122: 14,451 (pre, post)
123: 214,231 (pre, post)
124: 172,297 (pre, post)
125: 174,291 (pre, post)
126: 193,250 (pre, post)
127: 189,254 (pre, post)
128: 118,339 (pre, post)
129: 199,246 (pre, post)
130: 473,476 (pre, post)
131: 38,427 (pre, post)
132: 20,445 (pre, post)
133: 98,363 (pre, post)
134: 211,234 (pre, post)
135: 94,369 (pre, post)
136: 323,324 (pre, post)
137: 111,348 (pre, post)
138: 69,394 (pre, post)
139: 178,263 (pre, post)
140: 185,256 (pre, post)
141: 18,447 (pre, post)
142: 48,417 (pre, post)
143: 100,361 (pre, post)
144: 63,400 (pre, post)
145: 156,309 (pre, post)
146: 2,463 (pre, post)
147: 184,257 (pre, post)
148: 206,239 (pre, post)
149: 293,294 (pre, post)
150: 88,375 (pre, post)
151: 70,393 (pre, post)
152: 56,407 (pre, post)
153: 191,252 (pre, post)
154: 104,357 (pre, post)
155: 182,259 (pre, post)
156: 29,436 (pre, post)
157: 287,288 (pre, post)
158: 209,236 (pre, post)
159: 81,382 (pre, post)
160: 197,248 (pre, post)
161: 177,264 (pre, post)
162: 217,226 (pre, post)
163: 66,397 (pre, post)
164: 113,344 (pre, post)
165: 32,433 (pre, post)
166: 25,440 (pre, post)
167: 213,232 (pre, post)
168: 159,306 (pre, post)
169: 268,289 (pre, post)
